"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 13 12:02:30 UTC 2024","Wed Nov 13 12:04:38 UTC 2024","127491","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Business QR type",""
"passed","Wed Nov 13 12:02:34 UTC 2024","Wed Nov 13 12:04:01 UTC 2024","87473","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Apps QR type",""
"passed","Wed Nov 13 12:04:15 UTC 2024","Wed Nov 13 12:05:16 UTC 2024","60917","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Instagram QR type",""
"failed","Wed Nov 13 12:09:41 UTC 2024","Wed Nov 13 12:10:41 UTC 2024","59430","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Website QR type",""
"passed","Wed Nov 13 12:12:07 UTC 2024","Wed Nov 13 12:13:13 UTC 2024","66445","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Menu-PDF QR type",""
"passed","Wed Nov 13 11:59:22 UTC 2024","Wed Nov 13 12:01:01 UTC 2024","99519","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Coupon QR type",""
"passed","Wed Nov 13 11:57:22 UTC 2024","Wed Nov 13 11:59:07 UTC 2024","105251","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Image QR type",""
"passed","Wed Nov 13 12:13:25 UTC 2024","Wed Nov 13 12:13:50 UTC 2024","24973","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Social_media QR type",""
"passed","Wed Nov 13 12:10:39 UTC 2024","Wed Nov 13 12:12:25 UTC 2024","106459","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Links QR type",""
"failed","Wed Nov 13 12:04:10 UTC 2024","Wed Nov 13 12:05:21 UTC 2024","70523","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","WhatsApp QR type",""
"passed","Wed Nov 13 12:04:34 UTC 2024","Wed Nov 13 12:06:14 UTC 2024","99391","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Social_media QR type",""
